especie,rotacao,regiao,fazenda,projeto,estrato,talhao,idade,ano,pagina,arvore,dap,ht,vol,voltot
E.grandis,1,Salto,1,90,105,21,2.9,92,113810,2,13.05,19.13,115.223082,116
E.grandis,1,Salto,1,90,105,21,2.9,92,113810,3,13.05,17.41,101.486508,102
E.grandis,1,Salto,1,90,105,21,2.9,92,113810,4,12.41,17.76,102.648571,103
E.grandis,1,Salto,1,90,105,21,2.9,92,113810,5,11.78,16.98,85.688259,86
E.grandis,1,Salto,1,90,105,21,2.9,92,114006,1,13.69,18.67,126.491826,127
E.grandis,1,Salto,1,90,105,21,2.9,92,114006,2,14.01,18.4,122.114154,123
E.grandis,1,Salto,1,90,105,21,2.9,92,114006,3,14.32,17.96,133.586622,134
E.grandis,1,Salto,1,90,105,21,2.9,92,114006,4,13.69,18.14,121.008694,121
E.grandis,1,Salto,1,90,105,25,2.9,92,113603,2,7.96,12.82,29.379024,30.7
E.grandis,1,Salto,1,90,105,25,2.9,92,113603,3,8.91,11.73,32.241462,33.2
E.grandis,1,Salto,1,90,105,25,2.9,92,113709,6,10.82,14.17,60.675209,61.1
E.grandis,1,Salto,1,90,105,25,2.9,92,113709,7,10.82,14.53,65.429911,65.6
E.grandis,1,Salto,1,90,105,25,2.9,92,113709,8,11.14,14.83,62.766339,63.5
E.grandis,1,Salto,1,90,105,25,2.9,92,113709,9,11.14,15.1,65.205291,66.2
E.grandis,1,Salto,1,90,105,25,2.9,92,113810,6,11.78,14.77,71.203546,71.7
E.grandis,1,Salto,1,90,105,25,2.9,92,113810,7,12.73,15.8,87.643924,88.4
E.grandis,1,Salto,1,90,105,25,2.9,92,113810,8,11.46,15.15,75.780402,76.1
E.grandis,1,Salto,1,90,105,25,2.9,92,113810,9,12.41,15.38,82.436228,82.9
E.grandis,1,Salto,1,90,105,25,2.9,92,113810,10,11.78,14.83,73.028721,73.7
E.grandis,1,Salto,1,90,105,25,2.9,92,114006,5,13.69,15.31,100.322666,101
E.grandis,1,Salto,1,90,105,25,2.9,92,114006,6,13.37,15.74,96.881416,97.5
E.grandis,1,Salto,1,90,105,29,2.8,92,113905,1,13.05,17.87,107.228346,108
E.grandis,1,Salto,1,90,105,29,2.8,92,113905,2,12.41,19.54,105.377794,106
E.grandis,1,Salto,1,90,105,29,2.8,92,113905,3,11.78,19.4,103.098647,104
E.grandis,1,Salto,1,90,105,29,2.8,92,113905,4,13.05,18.11,105.761528,106
E.grandis,1,Salto,1,90,105,29,2.8,92,113905,5,12.73,17.71,102.367281,103
E.grandis,1,Salto,1,90,106,31,2.7,92,32403,1,8.59,12.88,36.258554,37.1
E.grandis,1,Salto,1,90,106,31,2.7,92,32403,2,7.96,13.2,28.215606,29.1
E.grandis,1,Salto,1,90,106,31,2.7,92,32403,3,7.96,13.17,27.685525,29.3
E.grandis,1,Salto,1,90,106,31,2.7,92,32503,1,10.19,14.14,50.363861,51.3
E.grandis,1,Salto,1,90,106,31,2.7,92,32503,2,10.5,13.64,56.623202,57.2
E.grandis,1,Salto,1,90,106,31,2.7,92,32503,3,11.46,14.76,67.404908,68.2
E.grandis,1,Salto,1,90,106,31,2.7,92,32603,1,12.1,16.14,80.204291,81.1
E.grandis,1,Salto,1,90,106,31,2.7,92,32603,2,13.05,15.59,94.656626,95.3
E.grandis,1,Salto,1,90,106,31,2.7,92,32603,3,12.41,17.14,88.732129,89.7
E.grandis,1,Salto,1,90,107,18,3,93,319703,1,13.69,19.48,132.327676,133
E.grandis,1,Salto,1,90,107,18,3,93,319703,2,14.32,21.35,135.295374,136
E.grandis,1,Salto,1,90,107,18,3,93,319703,3,14.64,20.5,145.773685,146
E.grandis,1,Salto,1,90,107,18,3,93,319803,1,12.1,17.19,88.507446,88.7
E.grandis,1,Salto,1,90,107,18,3,93,319803,2,12.73,19.13,110.359222,111
E.grandis,1,Salto,1,90,107,18,3,93,319803,3,12.41,19.17,99.227341,100
E.grandis,1,Salto,1,90,107,18,3,93,319903,1,9.87,15.93,52.128306,53.7
E.grandis,1,Salto,1,90,107,18,3,93,319903,2,11.14,19.09,74.705514,76.3
E.grandis,1,Salto,1,90,107,18,3,93,319903,3,9.55,17.41,57.858728,58.8
E.grandis,1,Salto,1,91,108,19,2.9,93,320303,1,14.96,20.03,142.60489,143
E.grandis,1,Salto,1,91,108,19,2.9,93,320303,2,14.32,18.38,120.582266,121
E.grandis,1,Salto,1,91,108,19,2.9,93,320303,3,13.69,19.2,123.363514,124
E.grandis,1,Salto,1,91,108,19,2.9,93,320403,1,12.1,18.42,91.752165,92.2
E.grandis,1,Salto,1,91,108,19,2.9,93,320403,2,11.46,17.72,80.600988,81.3
E.grandis,1,Salto,1,91,108,19,2.9,93,320403,3,13.05,19.35,111.587565,113
E.grandis,1,Salto,1,91,108,19,2.9,93,320503,1,11.14,17.57,75.774198,76.5
E.grandis,1,Salto,1,91,108,19,2.9,93,320503,2,10.5,16.13,60.465024,61.4
E.grandis,1,Salto,1,91,108,19,2.9,93,320503,3,9.87,17.55,61.486497,62.7
E.grandis,1,Salto,1,91,109,43,2.6,93,320003,1,14.01,18.57,118.249909,119
